Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Software Engineer,136530,13,PhD,0.39,0.68,0.6,Medium,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33
AI Engineer,92592,11,Master's,0.29,0.51,0.1,Low,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37
UX Researcher,82733,6,High School,0.5,0.8,0.41,Medium,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99
Data Scientist,115981,9,High School,0.26,1.16,0.63,Medium,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73
AI Engineer,43403,1,High School,0.09,1.08,0.06,Low,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52
AI Engineer,125435,15,PhD,0.1,0.99,0.17,Low,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86
Software Engineer,39540,12,High School,0.16,0.57,0.56,Medium,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39
Data Scientist,97067,12,High School,0.87,0.85,0.46,Medium,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47
UX Researcher,39111,5,Bachelor's,0.4,1.47,0.65,Medium,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19
AI Engineer,97444,23,High School,0.99,0.71,0.14,Low,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24
AI Engineer,30077,25,High School,0.91,0.82,0.2,Low,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39
UX Researcher,148721,13,High School,0.07,0.73,0.52,Medium,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0
Data Scientist,50103,4,Master's,0.49,0.91,0.61,Medium,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42
UX Researcher,119106,17,Master's,0.29,1.21,0.51,Medium,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9
UX Researcher,82603,0,High School,0.03,0.66,0.59,Medium,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65
AI Engineer,108411,22,PhD,0.11,0.64,0.12,Low,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42
Data Scientist,124613,4,High School,0.48,0.77,0.52,Medium,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41
Data Scientist,85619,17,Bachelor's,0.23,0.54,0.31,Medium,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88
Software Engineer,136506,29,PhD,0.61,0.67,0.7,Medium,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78
AI Engineer,78787,0,Master's,0.56,0.51,0.13,Low,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8
UX Researcher,49975,3,High School,0.91,0.68,0.4,Medium,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59
AI Engineer,55611,9,High School,0.4,0.98,0.22,Low,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13
UX Researcher,72668,9,High School,0.11,0.5,0.56,Medium,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26
Data Scientist,140641,23,Master's,0.82,0.92,0.57,Medium,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02
Data Scientist,92438,23,Bachelor's,0.13,0.6,0.59,Medium,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07
Software Engineer,70461,8,High School,0.32,0.52,0.36,Medium,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9
Data Scientist,91063,7,Master's,0.62,0.88,0.38,Medium,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98
Data Scientist,49715,29,Master's,0.73,1.0,0.47,Medium,0.73,0.77,0.16,0.61,0.14,0.75,0.66,0.96,0.07,0.06
AI Engineer,91944,28,Bachelor's,0.64,1.18,0.08,Low,0.23,0.79,0.97,0.26,0.27,0.47,0.98,0.27,0.41,0.89
UX Researcher,123547,1,High School,0.38,0.95,0.53,Medium,0.76,0.1,0.89,0.01,0.37,0.03,0.39,0.53,0.51,0.17
AI Engineer,111926,3,Bachelor's,0.04,1.26,0.29,Low,0.34,0.52,0.38,0.01,0.39,0.79,0.6,0.1,0.85,0.53
AI Engineer,78511,3,High School,0.41,0.57,0.14,Low,0.11,0.81,0.95,0.07,0.96,0.52,0.3,0.08,0.5,0.79
AI Engineer,136127,5,Master's,0.05,0.57,0.15,Low,0.3,0.23,0.28,0.8,0.93,0.41,0.91,0.32,0.48,0.23
UX Researcher,62402,8,Master's,0.84,0.81,0.62,Medium,0.89,0.43,0.91,0.38,0.96,0.09,0.69,0.49,0.39,0.63
UX Researcher,85668,3,Master's,0.55,1.38,0.57,Medium,0.55,0.83,0.61,0.29,0.21,0.15,0.9,0.71,0.94,0.6
Software Engineer,82428,14,Bachelor's,0.06,1.17,0.53,Medium,0.99,0.24,0.53,0.65,0.64,0.56,0.78,0.2,0.73,0.62
Data Scientist,107240,25,Bachelor's,0.85,0.82,0.41,Medium,0.98,0.53,0.91,0.16,0.64,0.81,0.95,0.34,0.72,0.54
UX Researcher,120270,8,Master's,0.69,1.19,0.67,Medium,0.5,0.23,0.04,0.42,0.3,0.76,0.35,0.95,0.96,0.62
AI Engineer,74605,21,Master's,0.76,1.05,0.1,Low,0.46,0.56,0.86,0.48,0.9,0.67,0.14,0.99,0.53,0.39
UX Researcher,140059,5,Bachelor's,0.11,1.14,0.5,Medium,0.41,0.95,0.52,0.22,0.46,0.92,0.18,0.21,0.01,0.01
Software Engineer,138125,2,Bachelor's,0.06,0.94,0.41,Medium,0.62,0.99,0.39,0.57,0.42,0.85,0.9,0.88,0.97,0.03
UX Researcher,50954,3,Master's,0.3,1.38,0.48,Medium,0.1,0.83,0.05,0.73,0.77,0.35,0.82,0.52,0.46,0.05
Software Engineer,37214,21,PhD,0.41,0.72,0.6,Medium,0.54,0.15,0.38,0.41,0.75,0.02,0.27,0.52,0.27,0.63
AI Engineer,143557,2,High School,0.37,1.06,0.16,Low,0.67,0.58,0.53,0.25,0.0,0.17,0.12,0.45,0.61,0.21
Data Scientist,32994,15,PhD,0.01,1.27,0.55,Medium,0.37,0.05,0.63,0.39,0.94,0.54,0.94,0.22,0.73,0.62
Data Scientist,93059,18,High School,0.11,0.79,0.42,Medium,0.25,0.52,0.54,0.36,0.35,0.83,0.79,0.31,0.91,0.95
Software Engineer,100293,21,Bachelor's,0.08,0.52,0.37,Medium,0.89,0.24,0.35,0.11,0.22,0.52,0.61,0.25,0.06,0.39
Software Engineer,115679,5,PhD,0.43,0.7,0.51,Medium,0.74,0.44,0.67,0.09,0.75,0.81,0.71,0.97,0.83,0.9
UX Researcher,131154,21,Master's,0.01,1.26,0.55,Medium,0.76,0.04,0.84,0.62,0.56,0.62,0.86,0.59,0.58,0.99
Data Scientist,117954,13,PhD,0.39,0.57,0.38,Medium,0.23,0.47,0.27,0.1,0.17,0.15,0.97,0.76,0.97,0.44
AI Engineer,110357,5,High School,0.85,0.67,0.26,Low,0.49,0.41,0.9,0.6,0.58,0.56,0.37,0.79,0.25,0.94
UX Researcher,103648,19,Bachelor's,0.38,0.73,0.41,Medium,0.55,0.2,0.29,0.24,0.95,0.94,0.61,0.92,0.79,0.59
UX Researcher,143892,16,Master's,0.77,1.2,0.55,Medium,0.76,0.51,0.7,0.94,0.38,0.71,0.48,0.67,0.76,0.05
Data Scientist,135296,7,High School,0.23,1.17,0.49,Medium,0.77,0.12,0.63,0.28,0.85,0.93,1.0,0.8,0.75,0.22
UX Researcher,71830,27,Master's,0.6,1.15,0.38,Medium,0.3,0.62,0.6,0.51,0.35,0.91,0.34,0.46,0.68,0.54
Software Engineer,129555,22,High School,0.44,1.29,0.41,Medium,0.14,0.31,0.85,0.09,0.99,0.54,0.98,0.94,0.45,0.2
Data Scientist,137524,2,PhD,0.76,0.56,0.3,Low,0.21,0.66,0.41,0.4,0.88,0.9,0.91,0.31,0.69,0.27
Data Scientist,85798,10,High School,0.8,0.6,0.53,Medium,0.46,0.12,0.98,0.21,0.07,0.59,0.74,0.03,0.66,0.53
AI Engineer,84710,21,Bachelor's,0.23,1.11,0.11,Low,0.58,0.36,0.82,0.82,0.48,0.35,0.36,0.81,0.33,0.21
UX Researcher,38848,5,PhD,0.47,0.98,0.64,Medium,0.22,0.38,0.81,0.82,0.38,0.46,0.3,0.93,0.12,0.93
Data Scientist,145660,26,High School,0.78,1.5,0.38,Medium,0.46,0.43,0.3,0.2,0.07,0.89,0.42,0.5,0.92,0.78
Data Scientist,64785,12,High School,0.57,0.94,0.62,Medium,0.72,0.69,0.34,0.8,0.05,0.16,0.34,0.08,0.23,0.83
Software Engineer,78899,11,Master's,0.06,0.79,0.34,Medium,0.96,0.14,0.15,0.89,0.94,0.77,0.01,0.0,0.38,0.14
Software Engineer,143857,28,High School,0.81,1.09,0.37,Medium,0.02,0.36,0.55,0.84,0.13,0.8,0.86,0.15,0.85,0.99
AI Engineer,46626,21,PhD,0.99,0.59,0.25,Low,0.67,0.77,0.31,0.49,0.8,0.23,0.23,0.55,0.52,0.28
Software Engineer,143880,18,Master's,0.0,1.11,0.55,Medium,0.46,0.4,0.46,0.41,0.73,0.14,0.2,0.18,0.26,0.53
UX Researcher,147027,17,Bachelor's,0.53,1.18,0.54,Medium,0.15,0.17,0.88,0.56,0.87,0.37,0.61,0.52,0.32,0.47
Software Engineer,97598,6,High School,0.04,0.69,0.52,Medium,0.65,0.05,0.95,0.84,0.3,0.08,0.17,0.13,0.12,0.52
AI Engineer,34758,18,PhD,0.67,0.98,0.15,Low,0.36,0.59,0.58,0.16,0.47,0.55,0.57,0.21,0.74,0.03
UX Researcher,102572,23,High School,0.52,1.4,0.38,Medium,0.02,0.86,0.58,0.89,0.6,0.81,0.43,0.75,0.91,0.57
Software Engineer,46932,9,PhD,0.91,0.54,0.5,Medium,0.68,0.93,0.62,0.8,0.08,0.39,0.37,0.89,0.15,0.15
Data Scientist,66993,3,High School,0.51,0.82,0.54,Medium,1.0,0.44,0.92,0.35,0.05,0.2,0.42,0.22,0.0,0.92
AI Engineer,124598,14,Master's,0.95,0.85,0.06,Low,0.18,0.39,0.95,0.14,0.76,0.11,0.98,0.38,0.78,0.34
UX Researcher,93752,12,Bachelor's,0.26,0.97,0.39,Medium,0.74,0.92,0.42,0.34,0.96,0.44,0.49,0.35,0.91,0.57
Software Engineer,33203,17,High School,0.73,1.42,0.6,Medium,0.59,0.19,0.67,0.62,0.6,0.49,0.53,0.33,0.52,0.2
UX Researcher,76097,23,High School,0.75,0.96,0.64,Medium,0.11,0.26,0.83,0.38,0.98,0.47,0.79,0.4,0.42,0.38
AI Engineer,49177,0,Master's,0.17,0.85,0.15,Low,0.06,0.58,0.88,0.15,0.6,0.66,0.42,0.7,0.41,0.5
AI Engineer,136802,23,Bachelor's,0.69,1.02,0.3,Low,0.61,0.37,0.77,0.17,0.38,0.35,0.43,0.78,0.48,0.79
AI Engineer,80901,26,Master's,0.34,1.31,0.11,Low,0.22,0.5,0.26,0.01,0.65,0.51,0.45,0.97,0.57,0.86
Software Engineer,142134,12,PhD,0.54,0.63,0.42,Medium,0.24,0.21,0.41,0.7,0.22,0.37,0.39,0.98,0.95,0.8
Data Scientist,100601,0,Bachelor's,0.4,0.93,0.53,Medium,0.0,0.26,0.52,0.72,0.17,0.55,0.71,0.44,0.03,0.45
AI Engineer,66701,25,High School,0.62,0.72,0.16,Low,0.9,0.13,0.39,0.82,0.97,0.45,0.51,0.57,0.93,0.86
Data Scientist,78733,25,Bachelor's,0.75,1.23,0.65,Medium,0.19,0.4,0.95,0.4,0.12,0.53,0.11,0.2,1.0,0.54
Data Scientist,33320,26,PhD,0.27,0.53,0.59,Medium,0.63,0.58,0.74,0.68,0.21,0.35,0.13,0.13,0.68,0.86
Data Scientist,137648,22,PhD,0.63,0.68,0.34,Medium,0.81,0.58,0.62,0.78,0.7,0.83,0.06,0.75,0.85,0.29
AI Engineer,133496,13,High School,0.34,0.68,0.05,Low,0.47,0.69,0.23,0.13,0.89,0.28,0.22,0.86,0.82,0.45
Data Scientist,138777,0,PhD,0.3,0.6,0.41,Medium,0.82,0.38,0.09,0.34,0.98,0.63,0.42,0.17,0.99,0.82
Software Engineer,140463,7,Master's,0.69,1.45,0.55,Medium,0.44,0.53,0.2,0.75,0.75,0.15,0.88,0.27,0.98,0.38
UX Researcher,45605,5,Master's,0.49,1.43,0.55,Medium,0.9,0.46,0.15,0.93,0.46,0.18,0.3,0.05,0.47,0.85
UX Researcher,103953,18,Master's,0.93,0.63,0.45,Medium,0.03,0.86,0.36,0.63,0.71,0.43,0.31,0.96,0.96,0.29
UX Researcher,65321,19,PhD,0.22,1.31,0.39,Medium,0.54,0.97,0.15,0.94,0.18,0.57,0.38,0.96,0.27,0.4
Data Scientist,39752,1,High School,0.77,0.71,0.43,Medium,0.82,0.54,0.86,0.21,0.61,0.08,0.64,0.76,0.58,0.27
AI Engineer,34792,14,Bachelor's,0.12,1.12,0.28,Low,0.21,0.74,0.87,0.52,0.67,0.82,0.26,0.3,0.0,0.96
Data Scientist,44591,29,Master's,0.26,1.37,0.35,Medium,0.72,0.1,0.62,0.36,0.79,0.23,0.64,0.24,0.71,0.87
Data Scientist,35424,17,High School,0.87,1.09,0.35,Medium,0.43,0.16,0.7,0.76,0.11,0.51,0.81,0.94,0.51,0.95
Data Scientist,89789,28,Bachelor's,0.39,1.35,0.5,Medium,0.47,0.49,0.85,0.83,0.4,0.33,0.49,0.57,0.24,0.79
UX Researcher,104702,10,PhD,0.64,0.64,0.67,Medium,0.09,0.96,0.61,0.0,0.89,0.52,0.26,0.77,0.93,0.48
UX Researcher,66613,23,Master's,0.71,0.86,0.33,Medium,0.43,0.44,0.67,0.32,0.68,0.87,0.24,0.98,0.39,0.27
UX Researcher,85823,16,High School,0.66,1.02,0.31,Medium,0.41,0.3,0.75,0.21,0.21,0.19,0.13,0.31,0.89,0.77
AI Engineer,123286,17,High School,0.8,0.77,0.27,Low,0.14,0.34,0.59,0.1,0.73,0.39,0.78,0.49,0.18,0.73
Data Scientist,103889,10,Bachelor's,0.62,0.93,0.42,Medium,0.6,0.05,0.09,0.03,0.5,0.6,0.06,0.72,0.23,0.69
Software Engineer,50968,29,High School,0.65,1.25,0.55,Medium,0.54,0.75,0.73,0.63,0.36,0.41,0.97,0.11,0.27,0.49
Data Scientist,86862,1,Bachelor's,0.21,1.04,0.59,Medium,0.63,0.47,0.96,0.68,0.91,0.73,0.74,0.08,0.36,0.86
AI Engineer,46934,6,Bachelor's,0.41,0.64,0.22,Low,0.52,0.64,0.34,0.91,0.59,0.09,0.45,0.76,0.79,0.49
UX Researcher,133693,3,High School,0.25,0.56,0.35,Medium,0.86,0.63,0.25,0.56,0.53,0.66,0.23,0.86,0.31,0.69
Software Engineer,131505,16,Bachelor's,0.57,1.25,0.45,Medium,0.3,0.46,0.82,0.93,0.55,0.66,0.9,0.1,0.23,0.71
UX Researcher,136153,25,Master's,0.32,0.92,0.39,Medium,0.2,0.04,0.64,0.26,0.05,0.23,0.8,0.85,0.48,0.42
Software Engineer,118444,8,Master's,0.38,0.78,0.59,Medium,0.86,0.65,0.51,0.16,0.05,0.45,0.05,0.57,0.38,0.76
Software Engineer,128336,7,High School,0.35,0.83,0.49,Medium,0.88,0.04,0.8,0.37,0.85,0.8,0.35,0.69,0.16,0.9
Data Scientist,96188,7,High School,0.4,0.58,0.59,Medium,0.62,0.0,0.01,0.81,0.26,0.64,0.45,0.86,0.92,1.0
AI Engineer,54722,22,High School,0.27,0.96,0.27,Low,0.46,0.56,0.4,0.46,0.02,0.28,0.44,0.63,0.45,0.34
Data Scientist,64568,6,High School,0.74,1.27,0.56,Medium,0.47,0.57,0.05,0.62,0.63,0.89,0.51,0.08,0.31,0.66
UX Researcher,39372,24,Bachelor's,0.91,0.77,0.66,Medium,0.32,0.55,0.05,0.04,0.72,0.44,0.26,0.19,0.67,0.0
Software Engineer,74458,4,PhD,0.19,1.23,0.36,Medium,0.86,0.51,0.11,0.69,0.52,0.3,0.42,0.3,0.26,0.16
AI Engineer,79047,21,PhD,0.69,0.67,0.12,Low,0.21,0.6,0.5,0.87,0.95,0.4,0.51,0.97,0.28,0.79
Data Scientist,47040,4,Bachelor's,0.97,0.94,0.64,Medium,0.57,0.16,0.69,0.51,0.65,0.89,0.44,0.9,0.75,0.49
Data Scientist,80192,23,Bachelor's,0.33,1.48,0.57,Medium,0.04,0.33,0.62,0.06,0.02,0.45,0.33,0.44,0.26,0.16
UX Researcher,147220,13,PhD,0.64,0.86,0.32,Medium,0.03,0.55,0.76,0.54,0.84,0.03,0.37,0.24,0.45,0.07
Data Scientist,105587,24,PhD,0.41,0.63,0.63,Medium,0.04,0.53,0.66,0.21,0.91,0.84,0.47,0.41,0.24,0.73
AI Engineer,34023,14,High School,0.84,0.73,0.27,Low,0.03,0.91,0.12,0.65,0.25,0.84,0.51,0.14,0.57,0.41
Software Engineer,63414,0,High School,0.61,1.27,0.48,Medium,0.47,0.64,0.11,0.44,0.97,0.04,0.32,0.31,0.63,0.11
AI Engineer,146004,26,PhD,0.08,0.76,0.05,Low,0.04,0.91,0.35,0.41,0.02,0.27,0.8,0.62,0.75,0.45
Data Scientist,52689,4,High School,0.01,1.28,0.63,Medium,0.06,0.61,0.38,0.79,0.87,0.85,0.78,0.27,0.81,0.53
Data Scientist,34027,8,Bachelor's,0.74,1.39,0.48,Medium,0.53,0.42,0.85,0.23,0.24,0.37,0.23,0.56,0.13,0.32
Data Scientist,114785,13,High School,0.13,1.29,0.31,Medium,0.48,0.33,0.74,0.31,0.83,0.59,0.79,0.99,0.68,0.98
UX Researcher,76766,22,PhD,0.29,0.5,0.39,Medium,0.34,0.99,0.52,0.2,0.33,0.33,0.02,0.14,0.7,0.12
Software Engineer,98232,12,PhD,0.03,0.84,0.69,Medium,0.87,0.33,0.59,0.85,0.44,0.02,0.07,0.51,0.97,0.69
Data Scientist,70741,18,High School,0.34,0.92,0.5,Medium,0.48,0.27,0.03,0.61,0.4,0.3,0.87,0.75,0.86,0.49
AI Engineer,78817,28,High School,0.46,1.44,0.17,Low,0.46,0.79,0.82,0.55,0.18,0.47,0.97,0.75,0.81,0.03
Software Engineer,137334,1,Master's,0.65,1.33,0.32,Medium,0.85,0.55,0.2,0.32,0.28,0.53,0.05,0.16,0.81,0.13
AI Engineer,82328,8,Bachelor's,0.51,1.17,0.26,Low,0.01,0.4,0.91,0.74,0.54,0.53,0.35,0.52,0.66,0.42
Software Engineer,78542,25,Master's,0.86,0.65,0.48,Medium,0.41,0.69,0.25,0.64,0.88,0.42,0.91,0.99,0.11,0.23
